id,name,odd,date
1448483292,De Bruyne Kevin,25.0,2022-06-17T04:28:45.366186
1448483294,Lewandowski Robert,30.0,2022-06-17T04:28:45.366186
1448483297,Ronaldo Cristiano,40.0,2022-06-17T04:28:45.366186
1448483299,Neymar,50.0,2022-06-17T04:28:45.366186
1448483298,Schick Patrik,500.0,2022-06-17T04:28:45.366186
1448483296,Benzema Karim,1.05,2022-06-17T16:21:24.382890
1448483295,Mane Sadio,13.0,2022-06-17T16:21:24.382890
1448483300,Salah Mohamed,15.0,2022-06-17T16:21:24.382890
1448483301,Messi Lionel,17.0,2022-06-17T16:21:24.382890
1448483293,Mbappé Kylian,20.0,2022-06-17T16:21:24.382890
1448483292,De Bruyne Kevin,25.0,2022-06-17T16:21:24.382890
1448483294,Lewandowski Robert,30.0,2022-06-17T16:21:24.382890
1448483297,Ronaldo Cristiano,40.0,2022-06-17T16:21:24.382890
1448483299,Neymar,50.0,2022-06-17T16:21:24.382890
1448483298,Schick Patrik,500.0,2022-06-17T16:21:24.382890
1448483296,Benzema Karim,1.05,2022-06-18T04:21:17.210513
1448483295,Mane Sadio,13.0,2022-06-18T04:21:17.210513
1448483300,Salah Mohamed,15.0,2022-06-18T04:21:17.210513
1448483301,Messi Lionel,17.0,2022-06-18T04:21:17.210513
1448483293,Mbappé Kylian,20.0,2022-06-18T04:21:17.210513
1448483292,De Bruyne Kevin,25.0,2022-06-18T04:21:17.210513
1448483294,Lewandowski Robert,30.0,2022-06-18T04:21:17.210513
1448483297,Ronaldo Cristiano,40.0,2022-06-18T04:21:17.210513
1448483299,Neymar,50.0,2022-06-18T04:21:17.210513
1448483298,Schick Patrik,500.0,2022-06-18T04:21:17.210513
1448483296,Benzema Karim,1.05,2022-06-18T16:18:50.060627
1448483295,Mane Sadio,13.0,2022-06-18T16:18:50.060627
1448483300,Salah Mohamed,15.0,2022-06-18T16:18:50.060627
1448483301,Messi Lionel,17.0,2022-06-18T16:18:50.060627
1448483293,Mbappé Kylian,20.0,2022-06-18T16:18:50.060627
1448483292,De Bruyne Kevin,25.0,2022-06-18T16:18:50.060627
1448483294,Lewandowski Robert,30.0,2022-06-18T16:18:50.060627
1448483297,Ronaldo Cristiano,40.0,2022-06-18T16:18:50.060627
1448483299,Neymar,50.0,2022-06-18T16:18:50.060627
1448483298,Schick Patrik,500.0,2022-06-18T16:18:50.060627
1448483296,Benzema Karim,1.05,2022-06-19T04:27:59.773765
1448483295,Mane Sadio,13.0,2022-06-19T04:27:59.773765
1448483300,Salah Mohamed,15.0,2022-06-19T04:27:59.773765
1448483301,Messi Lionel,17.0,2022-06-19T04:27:59.773765
1448483293,Mbappé Kylian,20.0,2022-06-19T04:27:59.773765
1448483292,De Bruyne Kevin,25.0,2022-06-19T04:27:59.773765
1448483294,Lewandowski Robert,30.0,2022-06-19T04:27:59.773765
1448483297,Ronaldo Cristiano,40.0,2022-06-19T04:27:59.773765
1448483299,Neymar,50.0,2022-06-19T04:27:59.773765
1448483298,Schick Patrik,500.0,2022-06-19T04:27:59.773765
1448483296,Benzema Karim,1.05,2022-06-19T16:18:19.841987
1448483295,Mane Sadio,13.0,2022-06-19T16:18:19.841987
1448483300,Salah Mohamed,15.0,2022-06-19T16:18:19.841987
1448483301,Messi Lionel,17.0,2022-06-19T16:18:19.841987
1448483293,Mbappé Kylian,20.0,2022-06-19T16:18:19.841987
1448483292,De Bruyne Kevin,25.0,2022-06-19T16:18:19.841987
1448483294,Lewandowski Robert,30.0,2022-06-19T16:18:19.841987
1448483297,Ronaldo Cristiano,40.0,2022-06-19T16:18:19.841987
1448483299,Neymar,50.0,2022-06-19T16:18:19.841987
1448483298,Schick Patrik,500.0,2022-06-19T16:18:19.841987
1448483296,Benzema Karim,1.05,2022-06-20T04:23:45.341201
1448483295,Mane Sadio,13.0,2022-06-20T04:23:45.341201
1448483300,Salah Mohamed,15.0,2022-06-20T04:23:45.341201
1448483301,Messi Lionel,17.0,2022-06-20T04:23:45.341201
1448483293,Mbappé Kylian,20.0,2022-06-20T04:23:45.341201
1448483292,De Bruyne Kevin,25.0,2022-06-20T04:23:45.341201
1448483294,Lewandowski Robert,30.0,2022-06-20T04:23:45.341201
1448483297,Ronaldo Cristiano,40.0,2022-06-20T04:23:45.341201
1448483299,Neymar,50.0,2022-06-20T04:23:45.341201
1448483298,Schick Patrik,500.0,2022-06-20T04:23:45.341201
1448483296,Benzema Karim,1.05,2022-06-20T16:23:39.837217
1448483295,Mane Sadio,13.0,2022-06-20T16:23:39.837217
1448483300,Salah Mohamed,15.0,2022-06-20T16:23:39.837217
1448483301,Messi Lionel,17.0,2022-06-20T16:23:39.837217
1448483293,Mbappé Kylian,20.0,2022-06-20T16:23:39.837217
1448483292,De Bruyne Kevin,25.0,2022-06-20T16:23:39.837217
1448483294,Lewandowski Robert,30.0,2022-06-20T16:23:39.837217
1448483297,Ronaldo Cristiano,40.0,2022-06-20T16:23:39.837217
1448483299,Neymar,50.0,2022-06-20T16:23:39.837217
1448483298,Schick Patrik,500.0,2022-06-20T16:23:39.837217
1448483296,Benzema Karim,1.05,2022-06-21T04:34:19.579871
1448483295,Mane Sadio,13.0,2022-06-21T04:34:19.579871
1448483300,Salah Mohamed,15.0,2022-06-21T04:34:19.579871
1448483301,Messi Lionel,17.0,2022-06-21T04:34:19.579871
1448483293,Mbappé Kylian,20.0,2022-06-21T04:34:19.579871
1448483292,De Bruyne Kevin,25.0,2022-06-21T04:34:19.579871
1448483294,Lewandowski Robert,30.0,2022-06-21T04:34:19.579871
1448483297,Ronaldo Cristiano,40.0,2022-06-21T04:34:19.579871
