,box_id,box_name,event_name,match_close,match_id,match_title,race_id,race_name,sport_title
108,b1043831758,"Zemmour Éric, 8.52%",Počet hlasů v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
109,b1043831759,"Zemmour Éric, 10.01%",Počet hlasů v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
110,b1044132343,,Cena 1 barel ropa Brent v USD dne 26.4.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-12T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
111,b1044131998,,Cena 1 oz zlata v USD dne 26.4.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-12T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
112,b1044112398,,Kurz 1 Bitcoin v USD dne 10.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-12T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
113,b1044247436,,Cena 1 barel ropa Brent v USD dne 3.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-19T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
114,b1044247437,,Cena 1 oz zlata v USD dne 3.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-19T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
115,b1044247438,,Kurz 1 Bitcoin v USD dne 17.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-19T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
116,b1044247439,,Kurz devizového trhu 1 EUR podle ČNB pro den 17.5.2022,2022-04-19T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
117,b1044412781,,Cena 1 barel ropa Brent v USD dne 3.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-19T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
118,b1044412964,,Cena 1 oz zlata v USD dne 3.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-19T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
119,b1045125799,,Maximální denní teplota ve stupních C podle chmi.cz bude 15.5.2022 8:00 – 16.5.2022 8:00 SELČ na met. stanici Praha-Ruzyně,2022-05-01T23:00:00.000+02:00,94653,Počasí v ČR 2022,4337194,Maximální denní teplota ve stupních C,Společenské sázky
120,b1045315238,,Umístění do 3. místa,2022-04-24T20:30:00.000+02:00,95436,Slovensko - Let’s Dance 7,4394774,Slovensko - Let’s Dance 7 - vítězná celebrita,Zábava
121,b1045449530,,Cena 1 barel ropa Brent v USD dne 24.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-28T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
122,b1045449531,,Cena 1 oz zlata v USD dne 24.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-28T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
123,b1045449532,,Kurz 1 Bitcoin v USD dne 24.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-28T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
124,b1045449533,,Kurz devizového trhu 1 EUR podle ČNB pro den 24.5.2022,2022-04-28T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
125,b1045564259,,Cena 1 oz zlata v USD dne 24.5.2022 v 15:00 SEČ (vyhodnocení podle kurzy.cz),2022-04-28T15:00:00.000+02:00,95954,Ceny komodit a devizové kurzy,4457294,Ceny komodit a devizové kurzy,Finance
126,b1045627621,,Volební účast v procentech ve 2. kole,2022-04-24T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316624,Francouzské prezidentské volby 2022 - celkově,Politika
127,b1045627622,"Le Pen Marine, 66.11%",Počet hlasů v procentech ve 2. kole,2022-04-24T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316624,Francouzské prezidentské volby 2022 - celkově,Politika
